date,point_id,lat,long,start_time,end_time,aru_sample,aru_id,cloud_cover,wind,rain,noise,ct_bearing,species_code,species_common_name,count,det_code,rel_bearing,distance,minute_detected,comments
04/02/2019,p9,46.962795,-88.153163,09:50,10:00,TRUE,swift02,0-33,2,Dry,0,240,BCCH,Black-capped Chickadee,1,S,0,2,6,
04/02/2019,p9,46.962795,-88.153163,09:50,10:00,TRUE,swift02,0-33,2,Dry,0,240,DOWO,Downy Woodpecker,1,C,240,3,6,
04/02/2019,p9,46.962795,-88.153163,09:50,10:00,TRUE,swift02,0-33,2,Dry,0,240,passerine sp.,passerine sp.,1,C,320,2,9,
04/02/2019,p17,46.95916,-88.141936,10:30,10:40,TRUE,swift01,0-33,2,Dry,0,190,no birds,NA,NA,NA,NA,NA,NA,no birds
04/02/2019,FB1,46.952963,-88.150066,11:03,11:13,TRUE,swift03,0-33,3,Dry,0,220,HAWO,Hairy Woodpecker,1,V,0,1,9,
04/04/2019,p15,46.964886,-88.144532,09:41,09:51,TRUE,swift02,0-33,1,Dry,0,180,BCCH,Black-capped Chickadee,2,C,45,3,2,
04/04/2019,p15,46.964886,-88.144532,09:41,09:51,TRUE,swift02,0-33,1,Dry,0,180,woodpecker sp.,woodpecker sp.,1,C,0,3,4,
04/04/2019,p15,46.964886,-88.144532,09:41,09:51,TRUE,swift02,0-33,1,Dry,0,180,DOWO,Downy Woodpecker,1,D,260,2,5,
04/04/2019,p15,46.964886,-88.144532,09:41,09:51,TRUE,swift02,0-33,1,Dry,0,180,WBNU,White-breasted Nuthatch,1,S,300,2,5,
04/04/2019,p15,46.964886,-88.144532,09:41,09:51,TRUE,swift02,0-33,1,Dry,0,180,HAWO,Hairy Woodpecker,2,D,280,2,8,
04/04/2019,p3,46.954889,-88.161307,10:33,10:43,TRUE,swift03,0-33,2,Dry,0,140,PIGR,Pine Grosbeak,1,C,240,1,0,
04/04/2019,p3,46.954889,-88.161307,10:33,10:43,TRUE,swift03,0-33,2,Dry,0,140,HAWO,Hairy Woodpecker,2,C,270,1,0,
04/04/2019,p3,46.954889,-88.161307,10:33,10:43,TRUE,swift03,0-33,2,Dry,0,140,DOWO,Downy Woodpecker,2,S,270,2,5,
04/04/2019,p3,46.954889,-88.161307,10:33,10:43,TRUE,swift03,0-33,2,Dry,0,140,CORA,Common Raven,1,C,320,3,8,
04/04/2019,p5,46.96031,-88.16166,12:03,12:13,TRUE,swift01,0-33,3,Dry,0,0,WBNU,White-breasted Nuthatch,1,S,45,3,3,
04/04/2019,p5,46.96031,-88.16166,12:03,12:13,TRUE,swift01,0-33,3,Dry,0,0,AMCR,American Crow,4,C,120,1,4,
04/05/2019,FB2,46.949871,-88.149663,09:56,10:06,TRUE,swift01,66-100,1,Dry,1,140,HAWO,Hairy Woodpecker,1,D,45,1,0,"irregular pecking, not full drum"
04/05/2019,FB2,46.949871,-88.149663,09:56,10:06,TRUE,swift01,66-100,1,Dry,1,140,bird sp.,bird sp.,2,C,0,3,3,"flew by, low"
04/05/2019,FB2,46.949871,-88.149663,09:56,10:06,TRUE,swift01,66-100,1,Dry,1,140,DOWO,Downy Woodpecker,1,V,20,1,9,
04/05/2019,p14,46.956261,-88.145008,10:30,10:40,TRUE,swift03,66-100,1,Dry,0,0,HAWO,Hairy Woodpecker,1,D,30,3,2,
04/05/2019,p14,46.956261,-88.145008,10:30,10:40,TRUE,swift03,66-100,1,Dry,0,0,DOWO,Downy Woodpecker,1,D,180,3,5,
04/05/2019,p11,46.963115,-88.148269,11:10,11:20,TRUE,swift02,66-100,1,Dry,0,0,woodpecker sp.,woodpecker sp.,1,D,310,2,3,
04/06/2019,p2,46.956416,-88.165159,10:30,10:40,TRUE,swift03,66-100,1,Dry,0,180,BCCH,Black-capped Chickadee,2,C,340,1,1,
04/06/2019,p2,46.956416,-88.165159,10:30,10:40,TRUE,swift03,66-100,1,Dry,0,180,HAWO,Hairy Woodpecker,1,D,250,3,1,
04/06/2019,p2,46.956416,-88.165159,10:30,10:40,TRUE,swift03,66-100,1,Dry,0,180,CORA,Common Raven,1,C,330,3,5,
04/06/2019,p4,46.957659,-88.161733,10:56,11:06,TRUE,swift01,66-100,1,Dry,0,320,HAWO,Hairy Woodpecker,1,D,0,1,0,almost certainly same bird as p2
04/06/2019,p4,46.957659,-88.161733,10:56,11:06,TRUE,swift01,66-100,1,Dry,0,320,CORA,Common Raven,2,C,240,2,1,
04/06/2019,p4,46.957659,-88.161733,10:56,11:06,TRUE,swift01,66-100,1,Dry,0,320,bird sp.,bird sp.,1,C,NA,1,5,F
04/06/2019,p4,46.957659,-88.161733,10:56,11:06,TRUE,swift01,66-100,1,Dry,0,320,BCCH,Black-capped Chickadee,2,C,270,2,6,
04/06/2019,p4,46.957659,-88.161733,10:56,11:06,TRUE,swift01,66-100,1,Dry,0,320,BAEA,Bald Eagle,1,C,320,3,7,
04/06/2019,p12,46.955524,-88.148184,11:32,11:42,TRUE,swift02,66-100,1,Dry,0,0,AMCR,American Crow,2,C,30,3,0,
04/06/2019,p12,46.955524,-88.148184,11:32,11:42,TRUE,swift02,66-100,1,Dry,0,0,BCCH,Black-capped Chickadee,1,C,340,3,0,
04/06/2019,p12,46.955524,-88.148184,11:32,11:42,TRUE,swift02,66-100,1,Dry,0,0,bird sp.,bird sp.,1,C,NA,1,5,F
04/06/2019,p12,46.955524,-88.148184,11:32,11:42,TRUE,swift02,66-100,1,Dry,0,0,CANG,Canada Goose,X,C,NA,3,9,F
04/08/2019,p6,46.96112,-88.156684,10:24,10:34,TRUE,swift01,66-100,4,Dry,0,210,AMCR,American Crow,1,C,45,3,1,
04/08/2019,p6,46.96112,-88.156684,10:24,10:34,TRUE,swift01,66-100,4,Dry,0,210,BAEA,Bald Eagle,1,C,90,3,2,
04/08/2019,p10,46.959333,-88.152264,10:54,11:04,TRUE,swift03,66-100,4,Dry,0,90,BRCR,Brown Creeper,3,S,45,2,1,
04/08/2019,p10,46.959333,-88.152264,10:54,11:04,TRUE,swift03,66-100,4,Dry,0,90,AMRO,American Robin,2,C,330,2,6,
04/08/2019,p10,46.959333,-88.152264,10:54,11:04,TRUE,swift03,66-100,4,Dry,0,90,passerine sp.,passerine sp.,2,C,20,1,9,
04/08/2019,p8,46.957493,-88.155351,11:30,11:40,TRUE,swift02,66-100,3,Dry,0,180,CORA,Common Raven,1,C,0,3,6,
04/08/2019,p8,46.957493,-88.155351,11:30,11:40,TRUE,swift02,66-100,3,Dry,0,180,bird sp.,bird sp.,1,C,90,3,9,"low, two note whooping, creaking. Too regular to be a tree, too distant to ID."
04/09/2019,p13,46.958769,-88.148362,10:37,10:47,TRUE,swift03,66-100,0,Drizzle,0,90,no birds,NA,NA,NA,NA,NA,NA,
04/09/2019,p18,46.960573,-88.137828,11:07,11:17,TRUE,swift02,66-100,1,Drizzle,1,240,woodpecker sp.,woodpecker sp.,1,D,45,2,1,
04/09/2019,p18,46.960573,-88.137828,11:07,11:17,TRUE,swift02,66-100,1,Drizzle,1,240,SACR,Sandhill Crane,2,C,NA,1,2,F
04/09/2019,p18,46.960573,-88.137828,11:07,11:17,TRUE,swift02,66-100,1,Drizzle,1,240,BRCR,Brown Creeper,1,C,0,1,3,
04/09/2019,p18,46.960573,-88.137828,11:07,11:17,TRUE,swift02,66-100,1,Drizzle,1,240,GCKI,Golden-crowned Kinglet,1,C,0,1,6,
04/09/2019,p18,46.960573,-88.137828,11:07,11:17,TRUE,swift02,66-100,1,Drizzle,1,240,bird sp.,bird sp.,1,C,NA,1,8,F
04/09/2019,p1,46.955124,-88.170103,12:00,12:10,TRUE,swift01,66-100,0,Rain/Snow,0,220,woodpecker sp.,woodpecker sp.,1,D,45,2,8,
04/10/2019,p8,46.957513,-88.155117,10:12,10:22,TRUE,swift03,33-66,5,Dry,1,270,no birds,NA,NA,NA,NA,NA,NA,
04/10/2019,p12,46.955511,-88.148185,10:40,10:50,TRUE,swift02,0-33,5,Dry,1,60,BCCH,Black-capped Chickadee,3,C,270,2,4,barely heard over wind
04/10/2019,p6,46.961138,-88.15671,11:19,11:29,TRUE,swift01,0-33,4,Dry,1,270,WBNU,White-breasted Nuthatch,1,S,330,2,0,
04/10/2019,p6,46.961138,-88.15671,11:19,11:29,TRUE,swift01,0-33,4,Dry,1,270,BAEA,Bald Eagle,1,C,240,2,1,
04/10/2019,p6,46.961138,-88.15671,11:19,11:29,TRUE,swift01,0-33,4,Dry,1,270,PIWO,Pileated Woodpecker,1,C,200,2,3,
04/13/2019,p9,46.962846,-88.153178,09:54,10:04,TRUE,swift01,66-100,5,Dry,0,270,BCCH,Black-capped Chickadee,3,C,340,1,0,
04/13/2019,p9,46.962846,-88.153178,09:54,10:04,TRUE,swift01,66-100,5,Dry,0,270,WBNU,White-breasted Nuthatch,1,S,290,3,9,
04/13/2019,p2,46.956377,-88.165236,10:41,10:51,TRUE,swift03,66-100,5,Drizzle,0,120,no birds,NA,NA,NA,NA,NA,NA,
04/13/2019,p11,46.963138,-88.148574,11:28,11:38,TRUE,swift02,66-100,5,Rain/Snow,0,280,no birds,NA,NA,NA,NA,NA,NA,
04/14/2019,p5,46.960596,-88.16153,09:35,09:45,TRUE,swift03,66-100,1,Dry,0,50,CORA,Common Raven,1,C,0,3,3,
04/14/2019,p5,46.960596,-88.16153,09:35,09:45,TRUE,swift03,66-100,1,Dry,0,50,bird sp.,bird sp.,1,C,180,2,5,"high, ringing call notes- less musical, more metallic than BRCR"
04/14/2019,p5,46.960596,-88.16153,09:35,09:45,TRUE,swift03,66-100,1,Dry,0,50,WBNU,White-breasted Nuthatch,1,S,0,2,5,
04/14/2019,p5,46.960596,-88.16153,09:35,09:45,TRUE,swift03,66-100,1,Dry,0,50,BCCH,Black-capped Chickadee,2,C,330,3,6,
04/14/2019,p14,46.957345,-88.144935,10:25,10:35,TRUE,swift01,66-100,2,Dry,0,160,BCCH,Black-capped Chickadee,3,S,0,2,0,
04/14/2019,p14,46.957345,-88.144935,10:25,10:35,TRUE,swift01,66-100,2,Dry,0,160,AMRO,American Robin,1,C,220,1,4,
04/14/2019,p15,46.964896,-88.144477,11:08,11:18,TRUE,swift02,66-100,2,Dry,0,60,BCCH,Black-capped Chickadee,1,C,140,3,2,
04/15/2019,p18,46.960452,-88.137728,10:19,10:29,TRUE,swift02,0-33,0,Dry,0,180,DOWO,Downy Woodpecker,1,C,100,1,3,
04/15/2019,p18,46.960452,-88.137728,10:19,10:29,TRUE,swift02,0-33,0,Dry,0,180,COLO,Common Loon,1,C,340,3,3,
04/15/2019,FB1,46.952929,-88.150157,11:04,11:14,TRUE,swift03,0-33,1,Dry,0,270,HAWO,Hairy Woodpecker,2,V,90,2,1,
04/15/2019,FB1,46.952929,-88.150157,11:04,11:14,TRUE,swift03,0-33,1,Dry,0,270,woodpecker sp.,woodpecker sp.,1,C,180,2,5,
04/15/2019,FB1,46.952929,-88.150157,11:04,11:14,TRUE,swift03,0-33,1,Dry,0,270,CORA,Common Raven,1,C,340,3,6,
04/15/2019,FB1,46.952929,-88.150157,11:04,11:14,TRUE,swift03,0-33,1,Dry,0,270,BCCH,Black-capped Chickadee,2,C,30,1,8,
04/15/2019,FB2,46.950312,-88.149588,11:28,11:38,TRUE,swift01,0-33,1,Dry,0,220,DOWO,Downy Woodpecker,2,V,0,1,0,
04/15/2019,FB2,46.950312,-88.149588,11:28,11:38,TRUE,swift01,0-33,1,Dry,0,220,BCCH,Black-capped Chickadee,2,S,270,3,2,
04/16/2019,p4,46.957488,-88.161949,10:33,10:43,TRUE,swift03,0-33,1,Dry,0,270,passerine sp.,passerine sp.,1,C,90,2,5,
04/16/2019,p4,46.957488,-88.161949,10:33,10:43,TRUE,swift03,0-33,1,Dry,0,270,GCKI,Golden-crowned Kinglet,1,C,120,2,5,
04/16/2019,p4,46.957488,-88.161949,10:33,10:43,TRUE,swift03,0-33,1,Dry,0,270,WIWR,Winter Wren,1,S,180,3,6,
04/16/2019,p4,46.957488,-88.161949,10:33,10:43,TRUE,swift03,0-33,1,Dry,0,270,AMCR,American Crow,1,C,0,3,7,
04/16/2019,p3,46.954715,-88.161633,11:02,11:12,TRUE,swift01,0-33,1,Dry,0,240,BRCR,Brown Creeper,1,S,0,2,0,
04/17/2019,p17,46.959027,-88.141748,09:54,10:04,TRUE,swift02,66-100,1,Dry,0,270,BCCH,Black-capped Chickadee,3,S,20,2,0,
04/17/2019,p17,46.959027,-88.141748,09:54,10:04,TRUE,swift02,66-100,1,Dry,0,270,AMRO,American Robin,3,C,0,2,0,
04/17/2019,p17,46.959027,-88.141748,09:54,10:04,TRUE,swift02,66-100,1,Dry,0,270,WIWR,Winter Wren,1,S,330,3,0,
04/17/2019,p17,46.959027,-88.141748,09:54,10:04,TRUE,swift02,66-100,1,Dry,0,270,HETH,Hermit Thrush,3,V,0,1,2,
04/17/2019,p17,46.959027,-88.141748,09:54,10:04,TRUE,swift02,66-100,1,Dry,0,270,GCKI,Golden-crowned Kinglet,4,C,90,1,4,
04/17/2019,p17,46.959027,-88.141748,09:54,10:04,TRUE,swift02,66-100,1,Dry,0,270,COGR,Common Grackle,1,C,180,2,5,
04/17/2019,p17,46.959027,-88.141748,09:54,10:04,TRUE,swift02,66-100,1,Dry,0,270,CORA,Common Raven,1,C,90,3,6,
04/17/2019,p17,46.959027,-88.141748,09:54,10:04,TRUE,swift02,66-100,1,Dry,0,270,woodpecker sp.,woodpecker sp.,1,D,330,3,6,
04/17/2019,p17,46.959027,-88.141748,09:54,10:04,TRUE,swift02,66-100,1,Dry,0,270,COLO,Common Loon,1,C,270,3,7,
04/17/2019,p17,46.959027,-88.141748,09:54,10:04,TRUE,swift02,66-100,1,Dry,0,270,YBSA,Yellow-bellied Sapsucker,2,C,270,3,8,
04/17/2019,p17,46.959027,-88.141748,09:54,10:04,TRUE,swift02,66-100,1,Dry,0,270,DOWO,Downy Woodpecker,1,V,0,1,9,
04/17/2019,p10,46.959211,-88.152188,10:40,10:50,TRUE,swift01,66-100,1,Dry,0,300,BRCR,Brown Creeper,1,S,0,2,0,
04/17/2019,p10,46.959211,-88.152188,10:40,10:50,TRUE,swift01,66-100,1,Dry,0,300,AMRO,American Robin,2,C,270,3,0,
04/17/2019,p10,46.959211,-88.152188,10:40,10:50,TRUE,swift01,66-100,1,Dry,0,300,WIWR,Winter Wren,1,S,330,3,0,very distant
04/17/2019,p10,46.959211,-88.152188,10:40,10:50,TRUE,swift01,66-100,1,Dry,0,300,woodpecker sp.,woodpecker sp.,1,D,90,2,1,
04/17/2019,p10,46.959211,-88.152188,10:40,10:50,TRUE,swift01,66-100,1,Dry,0,300,CORA,Common Raven,2,C,250,3,1,
04/17/2019,p10,46.959211,-88.152188,10:40,10:50,TRUE,swift01,66-100,1,Dry,0,300,BCCH,Black-capped Chickadee,1,S,270,3,2,
04/17/2019,p10,46.959211,-88.152188,10:40,10:50,TRUE,swift01,66-100,1,Dry,0,300,GCKI,Golden-crowned Kinglet,2,C,290,1,3,
04/17/2019,p10,46.959211,-88.152188,10:40,10:50,TRUE,swift01,66-100,1,Dry,0,300,YBSA,Yellow-bellied Sapsucker,3,C,320,2,4,
04/17/2019,p10,46.959211,-88.152188,10:40,10:50,TRUE,swift01,66-100,1,Dry,0,300,HAWO,Hairy Woodpecker,1,C,340,2,8,
04/17/2019,p1,46.955161,-88.170125,11:27,11:37,TRUE,swift03; AM,66-100,1,Dry,1,270,GCKI,Golden-crowned Kinglet,5,S,0,2,0,
04/17/2019,p1,46.955161,-88.170125,11:27,11:37,TRUE,swift03; AM,66-100,1,Dry,1,270,CANG,Canada Goose,X,C,NA,3,2,F
04/17/2019,p1,46.955161,-88.170125,11:27,11:37,TRUE,swift03; AM,66-100,1,Dry,1,270,BRCR,Brown Creeper,1,S,310,2,4,
04/17/2019,p1,46.955161,-88.170125,11:27,11:37,TRUE,swift03; AM,66-100,1,Dry,1,270,woodpecker sp.,woodpecker sp.,1,D,0,2,7,
04/19/2019,p14,46.956666,-88.132302,09:41,09:51,TRUE,swift03; AM,0-33,1,Dry,1,0,BCCH,Black-capped Chickadee,3,S,180,2,0,
04/19/2019,p14,46.956666,-88.132302,09:41,09:51,TRUE,swift03; AM,0-33,1,Dry,1,0,AMRO,American Robin,1,C,290,2,0,
04/19/2019,p14,46.956666,-88.132302,09:41,09:51,TRUE,swift03; AM,0-33,1,Dry,1,0,WIWR,Winter Wren,2,S,45,3,2,
04/19/2019,p14,46.956666,-88.132302,09:41,09:51,TRUE,swift03; AM,0-33,1,Dry,1,0,PIWO,Pileated Woodpecker,1,D,80,3,5,
04/19/2019,p14,46.956666,-88.132302,09:41,09:51,TRUE,swift03; AM,0-33,1,Dry,1,0,BRCR,Brown Creeper,1,C,260,2,6,
04/19/2019,p14,46.956666,-88.132302,09:41,09:51,TRUE,swift03; AM,0-33,1,Dry,1,0,BAEA,Bald Eagle,1,C,120,2,7,
04/19/2019,p12,46.955533,-88.148263,10:05,10:15,TRUE,swift01,0-33,1,Dry,0,320,AMRO,American Robin,3,C,310,2,0,
04/19/2019,p12,46.955533,-88.148263,10:05,10:15,TRUE,swift01,0-33,1,Dry,0,320,WIWR,Winter Wren,2,S,60,3,0,
04/19/2019,p12,46.955533,-88.148263,10:05,10:15,TRUE,swift01,0-33,1,Dry,0,320,woodpecker sp.,woodpecker sp.,1,D,350,2,1,
04/19/2019,p12,46.955533,-88.148263,10:05,10:15,TRUE,swift01,0-33,1,Dry,0,320,HAWO,Hairy Woodpecker,1,C,270,2,3,
04/19/2019,p12,46.955533,-88.148263,10:05,10:15,TRUE,swift01,0-33,1,Dry,0,320,BRCR,Brown Creeper,1,C,270,1,5,
04/19/2019,p12,46.955533,-88.148263,10:05,10:15,TRUE,swift01,0-33,1,Dry,0,320,BCCH,Black-capped Chickadee,1,C,300,3,6,
04/19/2019,p12,46.955533,-88.148263,10:05,10:15,TRUE,swift01,0-33,1,Dry,0,320,NOFL,Northern Flicker,1,C,0,3,6,
04/19/2019,p12,46.955533,-88.148263,10:05,10:15,TRUE,swift01,0-33,1,Dry,0,320,YBSA,Yellow-bellied Sapsucker,1,C,180,3,8,
04/19/2019,p12,46.955533,-88.148263,10:05,10:15,TRUE,swift01,0-33,1,Dry,0,320,DOWO,Downy Woodpecker,1,C,180,2,8,
04/19/2019,p12,46.955533,-88.148263,10:05,10:15,TRUE,swift01,0-33,1,Dry,0,320,DEJU,Dark-eyed Junco,1,S,110,2,9,
04/19/2019,p1,46.955106,-88.170286,10:42,10:52,TRUE,swift02,0-33,1,Dry,0,80,woodpecker sp.,woodpecker sp.,1,D,0,3,0,
04/19/2019,p1,46.955106,-88.170286,10:42,10:52,TRUE,swift02,0-33,1,Dry,0,80,PIWO,Pileated Woodpecker,1,C,270,3,4,
04/19/2019,p1,46.955106,-88.170286,10:42,10:52,TRUE,swift02,0-33,1,Dry,0,80,GCKI,Golden-crowned Kinglet,3,S,200,3,5,
04/19/2019,p1,46.955106,-88.170286,10:42,10:52,TRUE,swift02,0-33,1,Dry,0,80,DOWO,Downy Woodpecker,1,D,270,2,6,
04/20/2019,p2,46.956462,-88.165225,09:40,09:50,TRUE,swift02,0-33,1,Dry,1,180,GCKI,Golden-crowned Kinglet,2,C,270,2,2,
04/20/2019,p2,46.956462,-88.165225,09:40,09:50,TRUE,swift02,0-33,1,Dry,1,180,YBSA,Yellow-bellied Sapsucker,1,D,220,3,3,
04/20/2019,p2,46.956462,-88.165225,09:40,09:50,TRUE,swift02,0-33,1,Dry,1,180,AMRO,American Robin,1,C,45,3,6,
04/20/2019,p2,46.956462,-88.165225,09:40,09:50,TRUE,swift02,0-33,1,Dry,1,180,bird sp.,bird sp.,1,C,300,2,7,
04/20/2019,p11,46.963113,-88.148485,10:34,10:44,TRUE,swift03; AM,0-33,1,Dry,0,220,YBSA,Yellow-bellied Sapsucker,1,D,100,3,0,
04/20/2019,p11,46.963113,-88.148485,10:34,10:44,TRUE,swift03; AM,0-33,1,Dry,0,220,GCKI,Golden-crowned Kinglet,2,C,0,2,0,
04/20/2019,p11,46.963113,-88.148485,10:34,10:44,TRUE,swift03; AM,0-33,1,Dry,0,220,BCCH,Black-capped Chickadee,3,S,45,3,1,
04/20/2019,p11,46.963113,-88.148485,10:34,10:44,TRUE,swift03; AM,0-33,1,Dry,0,220,woodpecker sp.,woodpecker sp.,1,D,230,3,2,
04/20/2019,p11,46.963113,-88.148485,10:34,10:44,TRUE,swift03; AM,0-33,1,Dry,0,220,DEJU,Dark-eyed Junco,2,C,60,1,3,
04/20/2019,p11,46.963113,-88.148485,10:34,10:44,TRUE,swift03; AM,0-33,1,Dry,0,220,passerine sp.,passerine sp.,1,C,110,2,5,
04/20/2019,p11,46.963113,-88.148485,10:34,10:44,TRUE,swift03; AM,0-33,1,Dry,0,220,PIWO,Pileated Woodpecker,1,D,270,3,7,
04/20/2019,p10,46.959048,-88.151785,11:00,11:10,TRUE,swift01,0-33,2,Dry,0,90,BCCH,Black-capped Chickadee,1,C,0,2,1,
04/20/2019,p10,46.959048,-88.151785,11:00,11:10,TRUE,swift01,0-33,2,Dry,0,90,HETH,Hermit Thrush,2,V,280,2,1,
04/20/2019,p10,46.959048,-88.151785,11:00,11:10,TRUE,swift01,0-33,2,Dry,0,90,YBSA,Yellow-bellied Sapsucker,1,D,110,3,1,
04/20/2019,p10,46.959048,-88.151785,11:00,11:10,TRUE,swift01,0-33,2,Dry,0,90,AMRO,American Robin,1,C,45,3,3,
04/20/2019,p10,46.959048,-88.151785,11:00,11:10,TRUE,swift01,0-33,2,Dry,0,90,WIWR,Winter Wren,2,S,60,3,4,
